mechanism,n_probes,time
kamprobes, 500, 0.010322809219360352
kprobes, 400, 0.1305835247039795
kprobes, 250, 0.08558988571166992
kamprobes, 250, 0.0071179866790771484
kamprobes, 800, 0.02990436553955078
kprobes, 300, 0.08464431762695312
kamprobes, 750, 0.0063135623931884766
kamprobes, 100, 0.0015320777893066406
kprobes, 500, 0.16913461685180664
kprobes, 50, 0.022942781448364258
kprobes, 900, 0.36458683013916016
kamprobes, 900, 0.032218217849731445
kamprobes, 300, 0.014150381088256836
kamprobes, 500, 0.010453224182128906
kamprobes, 400, 0.00647425651550293
kprobes, 850, 0.3285841941833496
kprobes, 500, 0.1638624668121338
kprobes, 600, 0.20194602012634277
kamprobes, 900, 0.008070230484008789
kprobes, 200, 0.06212925910949707
kamprobes, 150, 0.0015859603881835938
kamprobes, 550, 0.0052530765533447266
kprobes, 500, 0.16007280349731445
kamprobes, 750, 0.0059664249420166016
kamprobes, 100, 0.0012781620025634766
kprobes, 100, 0.022024154663085938
kamprobes, 750, 0.014045000076293945
kprobes, 550, 0.18862009048461914
kamprobes, 250, 0.002226591110229492
kprobes, 400, 0.13025975227355957
kprobes, 250, 0.08122754096984863
kamprobes, 600, 0.026773929595947266
kprobes, 950, 0.4067080020904541
kamprobes, 600, 0.0056040287017822266
kamprobes, 800, 0.008929252624511719
kamprobes, 450, 0.006834268569946289
kprobes, 900, 0.3741307258605957
kprobes, 700, 0.25796937942504883
kprobes, 400, 0.13118886947631836
kprobes, 400, 0.12920880317687988
kamprobes, 250, 0.021083593368530273
kamprobes, 50, 0.0007576942443847656
kamprobes, 950, 0.020117759704589844
kprobes, 150, 0.04957270622253418
kprobes, 900, 0.3662254810333252
kprobes, 850, 0.3409750461578369
kamprobes, 300, 0.002775430679321289
kprobes, 550, 0.20716047286987305
kamprobes, 950, 0.03073406219482422
kprobes, 350, 0.11014914512634277
kamprobes, 200, 0.0018167495727539062
kamprobes, 600, 0.006448030471801758
kamprobes, 850, 0.009807348251342773
kamprobes, 700, 0.02227926254272461
kamprobes, 100, 0.0013661384582519531
kprobes, 650, 0.22680974006652832
kprobes, 900, 0.36809372901916504
kprobes, 650, 0.23198270797729492
kprobes, 750, 0.29894280433654785
kamprobes, 950, 0.03948664665222168
kprobes, 550, 0.19521546363830566
kamprobes, 650, 0.00516963005065918
kprobes, 950, 0.40226244926452637
kprobes, 800, 0.30236029624938965
kamprobes, 250, 0.0023496150970458984
kprobes, 250, 0.07348155975341797
kprobes, 850, 0.33976101875305176
kprobes, 850, 0.3570563793182373
kamprobes, 600, 0.007879257202148438
kprobes, 450, 0.14803051948547363
kprobes, 650, 0.2760457992553711
kamprobes, 700, 0.005733966827392578
kprobes, 450, 0.14544057846069336
kamprobes, 500, 0.004126071929931641
kprobes, 700, 0.25907421112060547
kamprobes, 850, 0.008167028427124023
kamprobes, 900, 0.008678674697875977
kprobes, 100, 0.021633148193359375
kprobes, 700, 0.25962352752685547
kamprobes, 50, 0.0006210803985595703
kprobes, 450, 0.17583060264587402
